        raio     massa        dens        press        temp        lumin  transp
      0.130        NaN          NaN          NaN          NaN        NaN     1
      0.125        NaN          NaN          NaN          NaN        NaN     1
      0.120        NaN          NaN          NaN          NaN        NaN     1
      0.115        NaN          NaN          NaN          NaN        NaN     1
      0.110        NaN          NaN          NaN          NaN        NaN     1
      0.105        NaN          NaN          NaN          NaN        NaN     1
      0.100        NaN          NaN          NaN          NaN        NaN     1
      0.095        NaN          NaN          NaN          NaN        NaN     1
      0.094        NaN          NaN          NaN          NaN        NaN     1
      0.091        NaN          NaN          NaN          NaN        NaN     1
      0.089        NaN          NaN          NaN          NaN        NaN     1
      0.086        NaN          NaN          NaN          NaN        NaN     1
      0.084        NaN          NaN          NaN          NaN        NaN     1
      0.081        NaN          NaN          NaN          NaN        NaN     1
      0.079        NaN          NaN          NaN          NaN        NaN     1
      0.076        NaN          NaN          NaN          NaN        NaN     1
      0.074        NaN          NaN          NaN          NaN        NaN     1
      0.071        NaN          NaN          NaN          NaN        NaN     1
      0.069        NaN          NaN          NaN          NaN        NaN     1
      0.066        NaN          NaN          NaN          NaN        NaN     1
      0.064        NaN          NaN          NaN          NaN        NaN     1
      0.061        NaN          NaN          NaN          NaN        NaN     1
      0.059        NaN          NaN          NaN          NaN        NaN     1
      0.056        NaN          NaN          NaN          NaN        NaN     1
      0.054        NaN          NaN          NaN          NaN        NaN     1
      0.051        NaN          NaN          NaN          NaN        NaN     1
      0.049        NaN          NaN          NaN          NaN        NaN     1
      0.046        NaN          NaN          NaN          NaN        NaN     1
      0.044        NaN          NaN          NaN          NaN        NaN     1
      0.041        NaN          NaN          NaN          NaN        NaN     1
      0.039        NaN          NaN          NaN          NaN        NaN     1
      0.036        NaN          NaN          NaN          NaN        NaN     1
      0.034        NaN          NaN          NaN          NaN        NaN     1
      0.031        NaN          NaN          NaN          NaN        NaN     1
      0.029        NaN          NaN          NaN          NaN        NaN     1
      0.026        NaN          NaN          NaN          NaN        NaN     1
      0.024        NaN          NaN          NaN          NaN        NaN     1
      0.021        NaN          NaN          NaN          NaN        NaN     1
      0.019        NaN          NaN          NaN          NaN        NaN     1
      0.016        NaN          NaN          NaN          NaN        NaN     1
      0.014        NaN          NaN          NaN          NaN        NaN     1
      0.011        NaN          NaN          NaN          NaN        NaN     1
      0.009        NaN          NaN          NaN          NaN        NaN     1
      0.006        NaN          NaN          NaN          NaN        NaN     1
      0.004        NaN          NaN          NaN          NaN        NaN     1
