    raio       pgas        prad      epspp      epscno    epstot
  0.285D+00        NaN        NaN        NaN        NaN        NaN
  0.280D+00        NaN        NaN        NaN        NaN        NaN
  0.275D+00        NaN        NaN        NaN        NaN        NaN
  0.270D+00        NaN        NaN        NaN        NaN        NaN
  0.265D+00        NaN        NaN        NaN        NaN        NaN
  0.260D+00        NaN        NaN        NaN        NaN        NaN
  0.255D+00        NaN        NaN        NaN        NaN        NaN
  0.250D+00        NaN        NaN        NaN        NaN        NaN
  0.245D+00        NaN        NaN        NaN        NaN        NaN
  0.240D+00        NaN        NaN        NaN        NaN        NaN
  0.235D+00        NaN        NaN        NaN        NaN        NaN
  0.230D+00        NaN        NaN        NaN        NaN        NaN
  0.225D+00        NaN        NaN        NaN        NaN        NaN
  0.220D+00        NaN        NaN        NaN        NaN        NaN
  0.215D+00        NaN        NaN        NaN        NaN        NaN
  0.210D+00        NaN        NaN        NaN        NaN        NaN
  0.205D+00        NaN        NaN        NaN        NaN        NaN
  0.200D+00        NaN        NaN        NaN        NaN        NaN
  0.195D+00        NaN        NaN        NaN        NaN        NaN
  0.190D+00        NaN        NaN        NaN        NaN        NaN
  0.185D+00        NaN        NaN        NaN        NaN        NaN
  0.180D+00        NaN        NaN        NaN        NaN        NaN
  0.175D+00        NaN        NaN        NaN        NaN        NaN
  0.170D+00        NaN        NaN        NaN        NaN        NaN
  0.165D+00        NaN        NaN        NaN        NaN        NaN
  0.160D+00        NaN        NaN        NaN        NaN        NaN
  0.155D+00        NaN        NaN        NaN        NaN        NaN
  0.150D+00        NaN        NaN        NaN        NaN        NaN
  0.145D+00        NaN        NaN        NaN        NaN        NaN
  0.140D+00        NaN        NaN        NaN        NaN        NaN
  0.135D+00        NaN        NaN        NaN        NaN        NaN
  0.130D+00        NaN        NaN        NaN        NaN        NaN
  0.125D+00        NaN        NaN        NaN        NaN        NaN
  0.120D+00        NaN        NaN        NaN        NaN        NaN
  0.115D+00        NaN        NaN        NaN        NaN        NaN
  0.110D+00        NaN        NaN        NaN        NaN        NaN
  0.105D+00        NaN        NaN        NaN        NaN        NaN
  0.100D+00        NaN        NaN        NaN        NaN        NaN
  0.950D-01        NaN        NaN        NaN        NaN        NaN
  0.937D-01        NaN        NaN        NaN        NaN        NaN
  0.912D-01        NaN        NaN        NaN        NaN        NaN
  0.887D-01        NaN        NaN        NaN        NaN        NaN
  0.862D-01        NaN        NaN        NaN        NaN        NaN
  0.837D-01        NaN        NaN        NaN        NaN        NaN
  0.812D-01        NaN        NaN        NaN        NaN        NaN
  0.787D-01        NaN        NaN        NaN        NaN        NaN
  0.762D-01        NaN        NaN        NaN        NaN        NaN
  0.737D-01        NaN        NaN        NaN        NaN        NaN
  0.712D-01        NaN        NaN        NaN        NaN        NaN
  0.687D-01        NaN        NaN        NaN        NaN        NaN
  0.662D-01        NaN        NaN        NaN        NaN        NaN
  0.637D-01        NaN        NaN        NaN        NaN        NaN
  0.612D-01        NaN        NaN        NaN        NaN        NaN
  0.587D-01        NaN        NaN        NaN        NaN        NaN
  0.562D-01        NaN        NaN        NaN        NaN        NaN
  0.537D-01        NaN        NaN        NaN        NaN        NaN
  0.512D-01        NaN        NaN        NaN        NaN        NaN
  0.487D-01        NaN        NaN        NaN        NaN        NaN
  0.462D-01        NaN        NaN        NaN        NaN        NaN
  0.437D-01        NaN        NaN        NaN        NaN        NaN
  0.412D-01        NaN        NaN        NaN        NaN        NaN
  0.387D-01        NaN        NaN        NaN        NaN        NaN
  0.362D-01        NaN        NaN        NaN        NaN        NaN
  0.337D-01        NaN        NaN        NaN        NaN        NaN
  0.312D-01        NaN        NaN        NaN        NaN        NaN
  0.287D-01        NaN        NaN        NaN        NaN        NaN
  0.262D-01        NaN        NaN        NaN        NaN        NaN
  0.237D-01        NaN        NaN        NaN        NaN        NaN
  0.212D-01        NaN        NaN        NaN        NaN        NaN
  0.187D-01        NaN        NaN        NaN        NaN        NaN
  0.162D-01        NaN        NaN        NaN        NaN        NaN
  0.137D-01        NaN        NaN        NaN        NaN        NaN
  0.112D-01        NaN        NaN        NaN        NaN        NaN
  0.875D-02        NaN        NaN        NaN        NaN        NaN
  0.625D-02        NaN        NaN        NaN        NaN        NaN
  0.375D-02        NaN        NaN        NaN        NaN        NaN
